country,date,sector,value
Russia,03-02-2025,International Aviation,0.00700841
Russia,03-02-2025,Power,3.01974
Russia,03-02-2025,Residential,0.819286
Spain,03-02-2025,Domestic Aviation,0.016788
Spain,03-02-2025,Ground Transport,0.149174
Spain,03-02-2025,Industry,0.244718
Spain,03-02-2025,International Aviation,0.0209981
Spain,03-02-2025,Power,0.120679
Spain,03-02-2025,Residential,0.1524
United Kingdom,03-02-2025,Domestic Aviation,0.00949831
United Kingdom,03-02-2025,Ground Transport,0.336944
United Kingdom,03-02-2025,Industry,0.198448
United Kingdom,03-02-2025,International Aviation,0.0364302
United Kingdom,03-02-2025,Power,0.210541
United Kingdom,03-02-2025,Residential,0.343695
United States,03-02-2025,Domestic Aviation,0.406278
United States,03-02-2025,Ground Transport,4.44601
United States,03-02-2025,Industry,2.62999
United States,03-02-2025,International Aviation,0.194083
United States,03-02-2025,Power,3.95787
United States,03-02-2025,Residential,2.07715
WORLD,03-02-2025,Domestic Aviation,1.00915
WORLD,03-02-2025,Ground Transport,17.2284
WORLD,03-02-2025,Industry,28.2693
WORLD,03-02-2025,International Aviation,1.68234
WORLD,03-02-2025,Power,37.0239
WORLD,03-02-2025,Residential,16.1758
Brazil,04-02-2025,Domestic Aviation,0.0324423
Brazil,04-02-2025,Ground Transport,0.457171
Brazil,04-02-2025,Industry,0.372931
Brazil,04-02-2025,International Aviation,0.0104674
Brazil,04-02-2025,Power,0.117643
Brazil,04-02-2025,Residential,0.109
China,04-02-2025,Domestic Aviation,0.236275
China,04-02-2025,Ground Transport,1.76759
China,04-02-2025,Industry,8.3625
China,04-02-2025,International Aviation,0.0475654
China,04-02-2025,Power,13.1937
China,04-02-2025,Residential,3.88632
EU27 & UK,04-02-2025,Domestic Aviation,0.0418744
EU27 & UK,04-02-2025,Ground Transport,2.6718
EU27 & UK,04-02-2025,Industry,2.04737
EU27 & UK,04-02-2025,International Aviation,0.156524
EU27 & UK,04-02-2025,Power,2.77654
EU27 & UK,04-02-2025,Residential,3.02424
France,04-02-2025,Domestic Aviation,0.00510144
France,04-02-2025,Ground Transport,0.352589
France,04-02-2025,Industry,0.26019
France,04-02-2025,International Aviation,0.0176328
France,04-02-2025,Power,0.123943
France,04-02-2025,Residential,0.391367
Germany,04-02-2025,Domestic Aviation,0.00577321
Germany,04-02-2025,Ground Transport,0.436553
Germany,04-02-2025,Industry,0.336657
Germany,04-02-2025,International Aviation,0.0240999
Germany,04-02-2025,Power,0.785359
Germany,04-02-2025,Residential,0.767319
India,04-02-2025,Domestic Aviation,0.0233946
India,04-02-2025,Ground Transport,0.833185
India,04-02-2025,Industry,2.55951
India,04-02-2025,International Aviation,0.0160178
India,04-02-2025,Power,4.81178
India,04-02-2025,Residential,0.569194
Italy,04-02-2025,Domestic Aviation,0.00431428
Italy,04-02-2025,Ground Transport,0.275127
Italy,04-02-2025,Industry,0.205095
Italy,04-02-2025,International Aviation,0.0115001
Italy,04-02-2025,Power,0.287125
Italy,04-02-2025,Residential,0.359724
Japan,04-02-2025,Domestic Aviation,0.0234775
Japan,04-02-2025,Ground Transport,0.519881
Japan,04-02-2025,Industry,0.666201
Japan,04-02-2025,International Aviation,0.0244765
Japan,04-02-2025,Power,1.24798
Japan,04-02-2025,Residential,0.681757
ROW,04-02-2025,Domestic Aviation,0.19803
ROW,04-02-2025,Ground Transport,6.67069
ROW,04-02-2025,Industry,10.9663
ROW,04-02-2025,International Aviation,1.16359
ROW,04-02-2025,Power,9.04792
ROW,04-02-2025,Residential,4.91656
Russia,04-02-2025,Domestic Aviation,0.0346677
Russia,04-02-2025,Ground Transport,0.514815
Russia,04-02-2025,Industry,0.951651
Russia,04-02-2025,International Aviation,0.00653807
Russia,04-02-2025,Power,3.00384
Russia,04-02-2025,Residential,0.838208
Spain,04-02-2025,Domestic Aviation,0.0148104
Spain,04-02-2025,Ground Transport,0.275316
Spain,04-02-2025,Industry,0.292573
Spain,04-02-2025,International Aviation,0.0195952
Spain,04-02-2025,Power,0.144278
Spain,04-02-2025,Residential,0.152985
United Kingdom,04-02-2025,Domestic Aviation,0.00872971
United Kingdom,04-02-2025,Ground Transport,0.345749
United Kingdom,04-02-2025,Industry,0.133916
United Kingdom,04-02-2025,International Aviation,0.0353967
United Kingdom,04-02-2025,Power,0.142076
United Kingdom,04-02-2025,Residential,0.326921
United States,04-02-2025,Domestic Aviation,0.405981
United States,04-02-2025,Ground Transport,4.79023
United States,04-02-2025,Industry,2.56449
United States,04-02-2025,International Aviation,0.181807
United States,04-02-2025,Power,3.85929
United States,04-02-2025,Residential,2.0988
WORLD,04-02-2025,Domestic Aviation,0.996142
WORLD,04-02-2025,Ground Transport,18.2254
WORLD,04-02-2025,Industry,28.4909
WORLD,04-02-2025,International Aviation,1.60698
WORLD,04-02-2025,Power,38.0587
WORLD,04-02-2025,Residential,16.1241
Brazil,05-02-2025,Domestic Aviation,0.033649
Brazil,05-02-2025,Ground Transport,0.466526
Brazil,05-02-2025,Industry,0.37494
Brazil,05-02-2025,International Aviation,0.00976918
Brazil,05-02-2025,Power,0.118277
Brazil,05-02-2025,Residential,0.109
China,05-02-2025,Domestic Aviation,0.235915
China,05-02-2025,Ground Transport,2.16579
China,05-02-2025,Industry,8.86701
China,05-02-2025,International Aviation,0.049418
China,05-02-2025,Power,13.9897
China,05-02-2025,Residential,3.8904
EU27 & UK,05-02-2025,Domestic Aviation,0.0422698
EU27 & UK,05-02-2025,Ground Transport,2.69812
EU27 & UK,05-02-2025,Industry,2.08944
EU27 & UK,05-02-2025,International Aviation,0.158274
EU27 & UK,05-02-2025,Power,2.8336
EU27 & UK,05-02-2025,Residential,2.97373
France,05-02-2025,Domestic Aviation,0.00514314
France,05-02-2025,Ground Transport,0.352727
France,05-02-2025,Industry,0.249805
France,05-02-2025,International Aviation,0.0187014
France,05-02-2025,Power,0.118996
France,05-02-2025,Residential,0.372315
Germany,05-02-2025,Domestic Aviation,0.00545651
Germany,05-02-2025,Ground Transport,0.44279
Germany,05-02-2025,Industry,0.341344
Germany,05-02-2025,International Aviation,0.0262119
Germany,05-02-2025,Power,0.796294
Germany,05-02-2025,Residential,0.730331
India,05-02-2025,Domestic Aviation,0.02255
India,05-02-2025,Ground Transport,0.836336
